datetime,timestamp,alx_lx,tof_distance_mm
2026-06-06T12:26:49,1780741609,234.56,0
2026-06-06T12:26:54,1780741614,95.04,589
2026-06-06T12:26:59,1780741619,983.6800000000001,0
2026-06-06T12:27:04,1780741624,1185.92,0
2026-06-06T12:27:09,1780741629,656.96,1249
2026-06-06T12:27:14,1780741634,317.44,1038
2026-06-06T12:27:19,1780741639,292.16,420
2026-06-06T12:27:24,1780741644,921.6,0
2026-06-06T12:27:29,1780741649,432.96000000000004,0
2026-06-06T12:27:34,1780741654,144.32,0
2026-06-06T12:27:39,1780741659,167.04,0
2026-06-06T12:27:44,1780741664,122.56,968
2026-06-06T12:27:49,1780741669,1292.8,0
2026-06-06T12:27:54,1780741674,510.08,0
2026-06-06T12:27:59,1780741679,579.2,943
2026-06-06T12:28:04,1780741684,346.24,0
2026-06-06T12:28:09,1780741689,307.84000000000003,958
2026-06-06T12:28:14,1780741694,316.16,393
2026-06-06T12:28:19,1780741699,313.92,358
2026-06-06T12:28:24,1780741704,311.04,350
2026-06-06T12:28:29,1780741709,343.36,372
2026-06-06T12:28:34,1780741714,337.92,287
2026-06-06T12:28:39,1780741719,335.68,275
2026-06-06T12:28:44,1780741724,307.2,1002
2026-06-06T12:28:49,1780741729,315.52,449
2026-06-06T12:28:54,1780741734,330.24,918
2026-06-06T12:28:59,1780741739,328.64,476
2026-06-06T12:29:04,1780741744,331.2,508
2026-06-06T12:29:09,1780741749,328.0,473
2026-06-06T12:29:14,1780741754,328.64,486
2026-06-06T12:29:19,1780741759,334.08,567
2026-06-06T12:29:24,1780741764,333.44,477
2026-06-06T12:29:29,1780741769,310.08,430
2026-06-06T12:29:34,1780741774,341.12,1185
2026-06-06T12:29:39,1780741779,270.72,868
2026-06-06T12:29:44,1780741784,272.64,982
2026-06-06T12:29:49,1780741789,273.28000000000003,932
2026-06-06T12:29:54,1780741794,281.6,940
2026-06-06T12:29:59,1780741799,277.76,932
2026-06-06T12:30:04,1780741804,281.6,932
2026-06-06T12:30:09,1780741809,294.72,943
2026-06-06T12:30:14,1780741814,297.92,926
2026-06-06T12:30:19,1780741819,299.2,946
2026-06-06T12:30:24,1780741824,296.0,925
2026-06-06T12:30:29,1780741829,288.96,920
2026-06-06T12:30:34,1780741834,296.0,903
2026-06-06T12:30:39,1780741839,298.88,913
2026-06-06T12:30:44,1780741844,291.84000000000003,918
2026-06-06T12:30:49,1780741849,175.04,1084
2026-06-06T12:30:54,1780741854,316.48,444
2026-06-06T12:30:59,1780741859,362.56,429
2026-06-06T12:31:04,1780741864,247.68,0
2026-06-06T12:31:09,1780741869,1304.96,1016
2026-06-06T12:31:14,1780741874,300.48,925
2026-06-06T12:31:19,1780741879,357.12,255
2026-06-06T12:31:24,1780741884,336.32,0
2026-06-06T12:31:29,1780741889,166.4,690
2026-06-06T12:31:34,1780741894,139.84,262
2026-06-06T12:31:39,1780741899,134.08,407
2026-06-06T12:31:44,1780741904,214.72,846
2026-06-06T12:31:49,1780741909,274.56,689
2026-06-06T12:31:54,1780741914,263.36,620
2026-06-06T12:31:59,1780741919,226.24,472
2026-06-06T12:32:04,1780741924,160.96,663
2026-06-06T12:32:09,1780741929,139.52,660
2026-06-06T12:32:14,1780741934,113.28,441
2026-06-06T12:32:19,1780741939,200.32,568
2026-06-06T12:32:24,1780741944,154.88,624
2026-06-06T12:32:29,1780741949,149.76,658
2026-06-06T12:32:34,1780741954,367.36,721
2026-06-06T12:32:39,1780741959,338.88,483
2026-06-06T12:32:44,1780741964,265.6,720
2026-06-06T12:32:49,1780741969,166.72,647
2026-06-06T12:32:54,1780741974,261.12,482
2026-06-06T12:32:59,1780741979,214.08,598
2026-06-06T12:33:04,1780741984,254.72,740
2026-06-06T12:33:09,1780741989,247.36,624
2026-06-06T12:33:14,1780741994,231.04,588
2026-06-06T12:33:19,1780741999,308.8,520
2026-06-06T12:33:24,1780742004,283.2,559
2026-06-06T12:33:29,1780742009,231.36,574
2026-06-06T12:33:34,1780742014,209.6,664
2026-06-06T12:33:39,1780742019,300.48,641
2026-06-06T12:33:44,1780742024,193.28,1032
2026-06-06T12:33:49,1780742029,337.6,976
2026-06-06T12:33:54,1780742034,404.48,0
2026-06-06T12:33:59,1780742039,349.12,1053
2026-06-06T12:34:04,1780742044,317.12,1017
2026-06-06T12:34:09,1780742049,247.04,618
2026-06-06T12:34:14,1780742054,200.32,697
2026-06-06T12:34:19,1780742059,317.12,881
2026-06-06T12:34:24,1780742064,181.12,661
2026-06-06T12:34:29,1780742069,300.8,683
2026-06-06T12:34:34,1780742074,319.04,806
2026-06-06T12:34:39,1780742079,328.32,0
2026-06-06T12:34:44,1780742084,244.16,1009
2026-06-06T12:34:49,1780742089,235.20000000000002,376
2026-06-06T12:34:54,1780742094,284.16,446
2026-06-06T12:34:59,1780742099,181.44,289
2026-06-06T12:35:04,1780742104,206.72,929
2026-06-06T12:35:09,1780742109,24.64,381
2026-06-06T12:35:14,1780742114,31.36,503
2026-06-06T12:35:19,1780742119,114.88,428
2026-06-06T12:35:24,1780742124,118.4,445
2026-06-06T12:35:29,1780742129,86.72,428
2026-06-06T12:35:34,1780742134,151.36,595
2026-06-06T12:35:39,1780742139,95.36,372
2026-06-06T12:35:44,1780742144,81.28,409
2026-06-06T12:35:49,1780742149,158.4,640
2026-06-06T12:35:54,1780742154,320.64,0
2026-06-06T12:35:59,1780742159,189.76,520
2026-06-06T12:36:04,1780742164,99.84,546
2026-06-06T12:36:09,1780742169,166.72,786
2026-06-06T12:36:14,1780742174,326.08,814
2026-06-06T12:36:19,1780742179,233.92000000000002,582
2026-06-06T12:36:24,1780742184,147.84,548
2026-06-06T12:36:29,1780742189,166.72,711
2026-06-06T12:36:34,1780742194,173.76,599
2026-06-06T12:36:39,1780742199,79.68,617
2026-06-06T12:36:44,1780742204,64.32000000000001,453
2026-06-06T12:36:49,1780742209,1069.44,1023
2026-06-06T12:36:54,1780742214,152.0,446
